addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,alt_name,amenity,brand,brand:wikidata,check_date,check_date:opening_hours,contact:email,contact:fax,contact:phone,contact:website,description,dispensing,email,fixme,health_specialty:internal_medicine,healthcare,healthcare:speciality,level,max_age,name,opening_hours,opening_hours:lastcheck,opening_hours:signed,opening_hours:url,operator,operator:wikidata,phone,ref:vatin,survey:date,toilets:wheelchair,website,wheelchair,wheelchair:description
Reutlingen,DE,"10","72764",Wilhelmstraße,,pharmacy,,,,2025/03/13,,+49 7121 933693,+49 7121 93360,http://www.sonnen-apotheke-reutlingen.de,,yes,,,,pharmacy,,,,Sonnen-Apotheke,"Su off; PH off; Mo-Fr 08:00-18:30; Sa 09:00-13:00",,,,Wolfgang Merz,,,,,,,yes,
Reutlingen,DE,"40","72760",Föhrstraße,,pharmacy,easyApotheke,Q110987931,,2022/11/08,reutlingen@easyapotheken.de,+49 7121 62879-29,+49 7121 62879-0,https://reutlingen.easyapotheken.de,,yes,,,,pharmacy,,,,easyApotheke,"Mo-Fr 08:30-19:00; Sa 08:30-18:00",,,,Wolfram Schanz,,,,,,https://reutlingen.easyapotheken.de,limited,
Reutlingen,DE,3-7,"72764",Obere Wässere,,doctors,,,,,info@praxis-schmitz-salue.de,+49 7121 3018740,+49 7121 3018741,http://www.praxis-schmitz-salue.de,,,,,,doctor,otolaryngology,"4",,Praxis Dr. med Christine Schmitz-Salue,"Mo-Th 09:00-11:00, 14:00-16:00; Fr 09:00-13:00; PH off",2017/07/25,,,,,,,,yes,,yes,
Reutlingen,DE,"11","72764",Kaiserpassage,,doctors,,,,,,,+49 7121 3743-0,http://www.wpsr.de,Internistische Gemeinschaftspraxis,,,,yes,doctor,nephrology,,,Gemeinschaftspraxis Dres. Wagner/Puhm/Scholl/Rumpf,,,,,,,,,,,,yes,Rollstuhlgerechtes WC vorhanden
Reutlingen,,3-7,"72764",Obere Wässere,"Radiologische Gemeinschaftspraxis: Friese, Judt-Stelzer, Bongers, Krapf, Neuwirth",doctors,,,,,kontakt@radiologie-metzingen-reutlingen.de,+49 7121 9090859,+49 7121 9090840,http://www.radiologie-metzingen-reutlingen.de,,,,,,doctor,radiology,,,Radiologische Praxis Metzingen-Reutlingen,"Mo-Fr 07:30-18:00; PH off",2017/07/25,,,,,,,,yes,,yes,
Reutlingen,DE,"3","72764",Federnseestraße,,dentist,,,,,,,,,,,,,,dentist,,,,Dr. Thomas Fleischmann,"""nach Vereinbarung""",,,,,,,,,,,,
Reutlingen,DE,"8","72764",Oskar-Kalbfell-Platz,Lungenarzt Reutlingen,doctors,,,,,praxis@lungenarzt-reutlingen.de,,+49 7121 270022,https://www.lungenarzt-reutlingen.de,,,,,,doctor,pulmonology,,,"Dr. med. Weible;Dr. med. Spengler",,,,,,,,,,,,yes,
Reutlingen,DE,"8","72764",Obere Wässere,,doctors,,,2025/03/20,,raible@fzow.de,+49 7121 210503,+49 7121 210099,,,,,,,doctor,internal,,,Dr. med Armin Raible,Mo-Fr 08:00-12:00,,,,,,,,,,,,
Reutlingen,DE,"8","72764",Obere Wässere,,doctors,,,2025/03/20,,praxisblaheta@email.de,+49 7121 334040,+49 7121 346880,http://www.hautarzt-reutlingen.de,,,,,,doctor,allergology,,,Dr. med Barbara Blaheta,"Mo-Fr 08:00-12:00; Mo-Th 14:00-18:00",,,,,,,,,,,yes,
Reutlingen,DE,"8","72764",Obere Wässere,,doctors,,,2025/03/20,,seyfferth@fzow.de,+49 7121 576277,+49 7121 55580,http://www.dr-seyfferth.de,,,,,,doctor,cardiology,,,Dr. med Thomas Seyfferth,"Mo-Tu 07:30-12:30, 14:00-16:30; We 07:30-12:30; Th 08:30-12:30, 14:00-16:30; Fr 07:30-14:00",2016/04/08,,,,,,,,,,,
Reutlingen,DE,"8","72764",Obere Wässere,,doctors,,,2025/03/20,,praxisblaheta@email.de,+49 7121 334040,+49 7121 346880,http://www.hautarzt-reutlingen.de,,,,,,doctor,allergology,,,Dr. med. Hans-Jürgen Blaheta,"Mo-Fr 08:00-12:00; Mo-Th 14:00-18:00",,,,,,,,,,,yes,
Reutlingen,DE,"8","72764",Obere Wässere,,doctors,,,2025/03/20,,wurm@fzow.de,+49 7121 329605,+49 7121 329680,,,,,,,doctor,urology,,,Thomas M. Wurm,Mo-Fr 08:00-12:00,,,,,,,,,,,,
Reutlingen,,"2","72764",Albstraße,,doctors,,,2024/03/21,,info@urologie-reutlingen.de,+49 7121 6949899,+49 7121 694980,http://urologie-reutlingen.de,,,,,,doctor,urology,,,Uroneum Urologische Praxis,,,,,,,,,,no,,yes,
Reutlingen,,"2","72764",Albstraße,,doctors,,,2024/03/21,,info@chirurgische-praxis-reutlingen.de,+49 7121 491281,+49 7121 491114,https://www.chirurgische-praxis-reutlingen.de/,,,,,,doctor,surgery,,,Chirurgische Gemeinschaftspraxis,,,,,,,,,,no,,yes,
Reutlingen,,"9","72764",Obere Wässere,,doctors,,,,,info@praxis-obere-waessere.de,+49 7121 695 1430,+49 7121 695 1420,http://www.praxis-obere-waessere.de,,,,,,doctor,general,,,Allgemeinarztpraxis,,,,,,,,,,,,yes,
Reutlingen,DE,"3","72764",Federnseestraße,,doctors,,,,,,,+49 7121 329100,,,,,,,doctor,child_psychiatry,,,Dr. med. Elisabeth Honold-Luik,,,,,,,,,,,,,
Reutlingen,DE,"3","72764",Federnseestraße,,doctors,,,,,,+49 7121 380918,+49 7121 329997,http://www.praxis-jonda-starrach.de,,,,,,doctor,child_psychiatry,,,Rosika Jonda-Starrach,,,,,,,,,,,,,
Reutlingen,,"4","72764",Obere Wässere,,dentist,,,2025/02/20,,info@zahnarzt-rt.de,,+49 7121 371170,http://www.zahnarzt-rt.de,,,,,,dentist,,,,Dr. med. dent. Lars Vogg,,,,,,,,,,,,,
Reutlingen,,"9","72764",Kaiserpassage,,doctors,,,,2025/02/18,,,,http://www.jugendmedizin-reutlingen.de/,,,,,,doctor,,,,Dres. med. Dirk Baumgärtel & Andreas von Pfeil,Mo-Fr 09:00-11:00,,,,,,,,,,,,
Reutlingen,,"49","72764",Kaiserstraße,,dentist,,,,,,,,,,,,,,dentist,,,,Dr. Sigg,"Mo,Tu,Th 09:00-12:00,14:00-17:00, We,Fr 09:00-12:00, ""Nach Vereinbarung""",,,,,,+49 71 21 34 65 20,,,,,,
Reutlingen,DE,"1","72764",Bahnhofstraße,,doctors,,,2024/08/30,2024/08/30,praxis@nierenzentrum-reutlingen.de,+49 7121 389729,+49 7121 389720,http://www.nierenzentrum-rt.de,,,,,,doctor,dialysis,,,Nierenzentrum Reutlingen,Mo-Fr 08:00-12:30,,,,,,,,,,,yes,
Reutlingen,DE,3-7,"72764",Obere Wässere,,doctors,,,,,info@hno-hellstern.de,+49 7121 972974,+49 7121 972972,http://www.hno-hellstern.de,,,,,,doctor,otolaryngology,,,"Dr. Chris Hellstern; Dr. Ulrich Hellstern","Mo-We 08:00-12:00, 14:00-18:00; Th 08:00-12:00; Fr 08:00-12:00, 13:00-15:00; PH off",2017/07/25,,,,,,,,,,,
,,,,,,doctors,,,2024/03/21,,,,+49 7121 493492,http://glunkler.de,Kinder und Jugendarzt,,,,,doctor,paediatrics,,,Dr. med. B. Glunkler,,,,,,,,,,,,,
,,,,,,doctors,,,2025/03/13,,,,+49 7121 490153,,,,,,,doctor,gynaecology,,,Yesim Altin,"Mo,Tu,Th 09:00-12:00, Mo,Th 15:00-17:00, Tu 16:00-19:00; We 09:00-13:00; Fr 09:00-15:00",,,,,,,,,,,no,
,,,,,,pharmacy,,,,,,,,,,yes,,,,pharmacy,,"0",,Markt Apotheke,"Mo-Fr 08:00-19:00; Sa 09:00-16:00",,,,,,,,,,https://www.markt-apotheke-reutlingen.de/,yes,
Reutlingen,DE,"1","72764",Planie,,dentist,,,,,,,,,,,,,,dentist,,,,Dr. Heinz Tochtermann,"""nach Vereinbarung""",,,,,,+49 7121 32 96 48,,,,https://www.ihr-zahnarzt-reutlingen.de,,
,,,,,,doctors,,,2024/09/21,,,,,,,,,,,doctor,plastic_surgery,,,Schwaben Aesthetic,,,,,,,,,,,https://schwaben-aesthetic.de/,,
Reutlingen,DE,"4","72764",Kaiserstraße,,doctors,,,,,,,,,,,,,,doctor,radiology,"2",,Radiologie im Kronprinzenbau,"Mo-Fr 08:00-12:00, Mo,Tu,Th,Fr 15:00-18:00",,,,,,,,,,https://www.radiologie-im-kronprinzenbau.de/,yes,
Reutlingen,DE,"1","72764",Listplatz,,clinic,,,,,,,,,,,,,,clinic,surgery,"3",,Klinik im Kronprinzenbau,,,,,,,,,,,https://www.kronprinzenbau-klinik.de/,,
Reutlingen,DE,"3","72764",Wilhelmstraße,,dentist,,,,,,,,,,,,,,dentist,,,,Dr. Gössel,,,,,,,,,,,https://www.familienzahnarzt-reutlingen.de/,,
Reutlingen,,"66","72764",Kaiserstraße,,doctors,,,2024/04/18,,,,,,HNO Gemeinschaftspraxis,,praxis@reutlingen-hno.de,,,doctor,otolaryngology,,,"Dr. med. Dirk Eizenberger, Christian Ritzmann","Mo-Th 08:00-11:30,14:00-17:30; We 08:00-11:30,14:00-19:00; Fr 08:00-13:30; Sa,Su,PH off",,,,,,+49 7121 320505,,,,https://www.reutlingen-hno.de,yes,
Reutlingen,,"12","72764",Metzgerstraße,Gemeinschaftspraxis Dr. Bursa-Zanetti und Dr. Bochinger,doctors,,,,,,,,,"HNO, Chirurgie, Gemeinschaftspraxis Frau Dr. Zeynep Bursa-Zanetti, Herr Dr. Johannes Bochinger",,info@hno-reutlingen.de,,,doctor,otolaryngology,,,Dr. Bursa-Zanetti und Dr. Bochinger,"Mo,We 15:00-18:00; Tu 08:30-12:30; Th 08:30-12:30,15:00-18:00; Fr 08:30-13:00; Sa,Su,PH off",,,,,,+49 7121 346901,,,,http://www.hno-reutlingen.com,,
Reutlingen,DE,"49","72764",Gartenstraße,,doctors,,,,2022/12/03,,,,,,,,,,doctor,,,,Ulrich Gwinner,,,no,,,,+49 7121 260471,,,,https://www.systemische-therapie-reutlingen.de/,,
Reutlingen,DE,"21","72764",Kaiserstraße,,doctors,,,,,,,,,,,,,,doctor,orthopaedics,,,Dr. Rainer Burkhard,"""nach Vereinbarung""",,,,,,,,,,,,
Reutlingen,,"49","72764",Kaiserstraße,,doctors,,,,,,,,,,,info@augenzentrum-eckert.de,,,doctor,"eye_specialist_and_surgeon;eye;ophthalmology",,,Augenzentrum Eckert: Reutlingen Augenarzt (MVZ),Mo-Fr 08:00-18:00,,,https://augenzentrum-eckert.de/standorte/reutlingen/,Augenzentrum Eckert,Q129743845,+49 7121 / 346689,,,,https://augenzentrum-eckert.de/standorte/reutlingen/,,
Reutlingen,,"4","72762",Unter den Linden,,doctors,,,,,,,,,"Digitale Röntgendiagnostik Knochendichtemessung (DXA) Ultraschall - Bewegungsapparat, Säuglingshüfte; Konservative und operative Orthopädie; Neurochirugie; Kinderorthopädie/Skoliosebehandlung; Nachbehandlung nach Implantation von Kunstgelenken; Unfallbe",,,,,doctor,"orthopaedics;chiropractic;arthroscopy;surgery;neurosurgery",,,Orthopädische Praxis,"Mo-Fr 08:00-18:00; Sa 08:00-11:30; Su,PH off",,,,"Dr. med. Michael Kühn;Dr. med. Jens Knak;Ferdinand Heber;Dr. med. Matthias Mutzek;Norbert Schicker;Dr. med. Sabine Hövelborn",,+49 7121 96369 00,,,,https://orthopaedische-praxis-reutlingen.de,,
Reutlingen,,"6","72764",Gartenstraße,,dentist,,,,,,,,,,,,,,dentist,orthodontics,,,Dr. med. dent. Britta Höller Kieferorthopädische Fachzahnarztpraxis,"""Nach Vereinbarung""",,,,Dr. Höller,,,,,,,,
Reutlingen,,"42","72760",Föhrstraße,,doctors,,,,2022/11/08,,,,,,,rezept@praxisrehm.de,,,doctor,"general;covid19",,,Hausarztpraxis Dr. med. Kerstin Rehm,"Mo,We,Fr 08:00-11:30,15:00-18:00; Tu,Th 08:00-11:30; Su,PH off",,,,,,,,,,,,
Reutlingen,,"9","72762",Gustav-Werner-Straße,,doctors,,,,,,,,,,,info@praxis-osterbrink.de,,,doctor,"internal;covid19",,,Dr. med. univ. Julia Osterbrink,"Mo,Th 08:30-12:00,14:00-17:00; Tu 08:30-12:00,15:30-19:00; We 09:00-12:00; Fr 08:30-12:00; Su,PH off",,,,,,+49 7121 329657,,,,http://www.praxis-osterbrink.de,,
Reutlingen,,"2","72764",Albstraße,,doctors,,,,,,,,,"Homöopathie, Osteopathie und Allgemeinmedizin",,rezeption@praxis-dr-mackes.de,,,doctor,"osteopathy;general;homeopathy;covid19",,,Dr. med. Peter Mackes,"Mo-Fr 08:00-12:00,14:00-17:00; Su,PH off",,,,,,+49 71 21 32 00 04,,,,https://praxis-dr-mackes.de,,
Reutlingen,,"8","72764",Kaiserpassage,Dr.-medic Nadine Gläser,doctors,,,,,,,,,,,,,,doctor,"general;covid19",,,Dr. med. Eckhard Röhm,"Mo-Fr 08:00-11:00,15:00-18:00; Su,PH off",,,,,,+49 7121 334276,,,,,,
Reutlingen,,118-120,"72764",Lederstraße,,doctors,,,,,,,,,,,,,,doctor,"general;covid19",,,Praxis Marx und Koll,"Mo-Fr 09:00-11:00,15:00-17:00; Th 09:00-11:00; Su,PH off",,,,,,+49 7121 334438,,,,,,
Reutlingen,,"8","72764",Oskar-Kalbfell-Platz,,doctors,,,,,,,,,Praxis für Kinder- und Jugendmedizin,,Praxis.eissler-kreisel@web.de,exact position within the building ?,,doctor,paediatrics,,,Dr. med. Birgit Eissler und Dr. med. Kerstin Krüger,"Mo 08:00-13:00,15:00-19:00; Tu 08:20-12:00,13:00-17:00; We 08:00-13:00,15:00-17:00; Th 08:00-12:00,14:30-18:30; Fr 08:30-12:00,13:00-16:30; Su,PH off",,,,,,+49 7121 479907,,,,https://kinderaerzte-reutlingen.de,,
Reutlingen,,"8","72764",Willy-Brandt-Platz,,doctors,,,,,,,,,Allgemeinarztpraxis,,info@dr-rinn.de,,,doctor,"general;covid19",,,Dr. med. Sebastian Rinn,"Mo,Tu,Th,Fr 07:30-11:30,15:30-19:00; We 07:30-11:30",,,,,,+49 7121 371900,,,,http://www.dr-rinn.de,,
Reutlingen,,"10",,Oskar-Kalbfell-Platz,,doctors,,,,,,,,,,,,,,doctor,paediatrics,,,Gemeinschaftspraxis Dres. med. Wunberg und Dr. med. Luib,,,,,,,+49 7121 270738,,,,https://www.wunberg-luib-kinderjugendmedizin.de/,,
,,,,,,dentist,,,,,aokzahnzentrumrt@bw.aok.de,+49 7121 209-202,+49 7121 209-320,https://www.aok.de/pk/bw/zahnzentren/,,,,,,dentist,,,,AOK-Zahnzentrum Reutlingen,"Mo-Fr 07:30-11:30; Mo,Th 14:00-17:30; Tu 13:00-16:00",,,,,,,,,,,,
,,,,,,dentist,,,,,,,,,,,,,,dentist,,,,Dr. Tom Sauermann M.A.,"""nach Vereinbarung""",,,,,,,,2022/09/25,,,,
,,,,,,doctors,,,,,,,,,,,,,,doctor,oncology,,,Onkopraxis Reutlingen - Dr. med. Alexander Wacker,,,,,,,,,2024/03/05,,,yes,
,,,,,,doctors,,,,,,,,,,,,,,doctor,,,,Dr. Christoph Roth,,,,,,,,,2022/10/05,,,,
,,,,,,doctors,,,2025/04/18,2025/04/18,,,,,,,,,,doctor,,,,Dr. Karin König - Augenärztin,"Mo-Fr 07:30-12:00, Mo,We 14:00-16:00",,,,,,,,,,,,
,,,,,,dentist,,,,,,,,,,,,,,dentist,,"2",,Adam Wecker,,,,,,,,,2022/11/08,,,,
,,,,,,dentist,,,,2023/01/14,,,,,,,,,,dentist,,,,Dr. Jochen Gutbrod,,,no,,,,,,,,,,
,,,,,,dentist,,,,,,,+49 7121 30450,https://www.zmkg.de/fachabteilung/wurzelbehandlung/,,,,,,dentist,dental_oral_maxillo_facial_surgery,"1",,ZMKG Praxisklinik Dr. Dr. Krämer und Kollegen,"Mo-Th 08:00-13:00,14:00-17:00; Fr 08:00-13:00; PH closed",,,,,,,,,,,,
,,,,,,dentist,,,,,,,,,,,,,,dentist,,,,Zahnärztliche Tagesklinik,Mo-Fr 07:00-21:00,,,,,,,,,,,,
,,,,,,doctors,,,,,,,,,,,,,,doctor,gynaecology,,,Dr. Michael Menton,"Mo-Fr 08:00-12:00,14:00-18:00",,,,,,,,,,,,
,,,,,,dentist,,,,2024/12/29,,,+49 7121 30450,https://www.zmkg.de/fachabteilung/kieferorthopaedie-reutlingen/,,,,,,dentist,orthodontics,,,ZMKG Praxisklinik Dr. Dr. Krämer und Kollegen,"Mo-Th 08:00-13:00,14:00-17:00; Fr 08:00-13:00; PH closed",,,,,,,,,,,,
,,,,,,dentist,,,,,,,,,,,,,,dentist,,"1",,Dr. Nikolas Goedicke,"""nach Vereinbarung""",,,,,,,,,,,,
,,,,,,dentist,,,,2023/11/26,,,,,,,,,,dentist,,,,Dr. Neuscheler & Kollegen,Mo-Fr 08:00-12:00,,,,,,,,,,,,
,,,,,,dentist,,,,2023/02/11,,,,,,,,,,dentist,,,,Dr. Hansjörg Stotz,,,no,,,,,,,,,,
,,,,,,doctors,,,,,,,,,,,,,,doctor,,,,Dr. Ilse Malaeb,"Mo,Th 07:30-12:00,14:30-17:00; Tu,Fr 07:30-12:00; We 07:30-12:00",,,,,,,,,,,,
,,,,,,doctors,,,,,,,,,,,,,,doctor,,,,Dr. S. Rinn,"Mo-Fr 07:30-11:30, Mo,Th,Fr 15:30-18:00",,,,,,,,,,,limited,
Reutlingen,,"8","72764",Oskar-Kalbfell-Platz,,doctors,,,,,,,,,,,praxis@hsw-rt.de,,,doctor,gastroenterology,,,"Gemeinschaftspraxis Dr. Hofstätter, Dr. Schwaiger und Dr. Wolf","Mo-Th 08:00-12:00,14:00-17:00; Fr 08:00-12:00,14:00-16:00; Sa,Su,PH off",,,,,,+49 7121 49 04 06,,,,https://hsw-rt.de,,
Reutlingen,,3-7,"72764",Obere Wässere,,doctors,,,,,,,,,,,,,,doctor,"radiology;mrt_magnetom_avanto;röntgen;mammographie",,,Radiologie Obere Wässere,7.30 - 18.00 Uhr,,,,Radiologische Gemeinschaftspraxis Metzingen-Reutlingen,,,,,,,,
,,,,,,doctors,,,,,,,,,,,,,,doctor,dermatology,,,Dr. Glotzbach & Dr. Lomberg,,,,,,,,,,,https://hautarztpraxis-reutlingen.de/,no,
,,,,,,dentist,,,,2024/12/29,,,+49 7121 304515,https://www.kinderzahnarzt-reutlingen.de/,Fachabteilung für Kinder- und Jugendzahnheilkunde,,,,,dentist,paediatric_dentistry,"2","17",Zahnärzte für Kinder,"Mo-Fr 08:00-13:00,14:00-18:30; Fr 08:00-13:00; PH closed",,,,ZMKG Praxisklinik Dr. Dr. Krämer & Kollegen,,,,,,,,
